Vuosi,Kk,Pv,Klo,Aikavyöhyke,Pilvien määrä (1/8),Ilmanpaine (msl) (hPa),Suhteellinen kosteus (%),Sateen intensiteetti (mm/h),Lumensyvyys (cm),Ilman lämpötila (degC),Kastepistelämpötila (degC),Näkyvyys (m),Tuulen suunta (deg),Puuskanopeus (m/s),Tuulen nopeus (m/s)
2020,7,25,02:10,UTC,8,1002.7,99,0,-1,12.8,12.7,8200,96,4.5,2.6
2020,7,25,02:20,UTC,8,1002.7,99,0,-1,12.9,12.7,16089,92,4,2.1
2020,7,25,02:30,UTC,8,1002.7,99,0,-1,12.9,12.7,20200,87,2.6,1.5
2020,7,25,02:40,UTC,8,1002.7,99,0,-1,12.9,12.7,20015,75,3.3,1.8
2020,7,25,02:50,UTC,8,1002.7,99,0,-1,12.9,12.7,8821,73,2.7,1.7
2020,7,25,03:00,UTC,8,1002.7,99,1.7,-1,12.9,12.7,5750,69,2.4,1.4
2020,7,25,03:10,UTC,8,1002.7,99,0.1,-1,12.9,12.8,6177,72,2.8,1.3
2020,7,25,03:20,UTC,8,1002.6,99,0,-1,13,12.8,12253,82,2.9,1.7
2020,7,25,03:30,UTC,8,1002.6,99,0,-1,13,12.9,14136,84,3.4,1.8
2020,7,25,03:40,UTC,8,1002.6,99,0,-1,13.1,12.9,12578,95,3.3,1.7
2020,7,25,03:50,UTC,8,1002.6,99,0,-1,13.2,13,14081,95,3.3,1.8
2020,7,25,04:00,UTC,8,1002.7,99,0,-1,13.3,13.1,10203,93,2.7,1.5
2020,7,25,04:10,UTC,8,1002.7,99,0,-1,13.3,13.1,8633,98,2.8,1.7
2020,7,25,04:20,UTC,8,1002.7,99,0,-1,13.3,13.1,9748,92,3.1,1.6
2020,7,25,04:30,UTC,8,1002.7,99,0.4,-1,13.3,13.1,5591,86,3,1.7
2020,7,25,04:40,UTC,8,1002.7,99,1.6,-1,13.4,13.2,7573,76,3.2,1.2
2020,7,25,04:50,UTC,8,1002.7,99,0.1,-1,13.4,13.2,7959,85,3.7,1.7
2020,7,25,05:00,UTC,8,1002.7,99,0,-1,13.6,13.3,15510,91,2.3,1.3
2020,7,25,05:10,UTC,8,1002.7,99,0,-1,13.6,13.4,6670,117,1.5,0.8
2020,7,25,05:20,UTC,8,1002.7,99,1.6,-1,13.6,13.4,6964,0,0,0
2020,7,25,05:30,UTC,8,1002.8,99,0.5,-1,13.8,13.6,10718,275,1.4,0.6
2020,7,25,05:40,UTC,8,1002.8,99,0,-1,13.8,13.6,11110,271,1.4,0.5
2020,7,25,05:50,UTC,8,1002.9,98,0,-1,13.6,13.3,11158,274,3.2,1.8
2020,7,25,06:00,UTC,8,1003,98,0,-1,13.5,13.2,10384,299,3.4,1.9
2020,7,25,06:10,UTC,8,1003.1,98,0,-1,13.3,13,10495,301,3.4,2.1
2020,7,25,06:20,UTC,8,1003.2,98,0,-1,13.2,12.9,8745,308,4,2.4
2020,7,25,06:30,UTC,8,1003.3,98,1,-1,13.1,12.8,7882,317,4.5,2.4
2020,7,25,06:40,UTC,8,1003.3,98,0.3,-1,13.1,12.8,13887,311,3.9,2.3
2020,7,25,06:50,UTC,8,1003.5,98,0,-1,13.2,12.9,25083,306,4.9,2.7
2020,7,25,07:00,UTC,8,1003.6,98,0,-1,13.2,12.9,34625,317,4.6,2.7
2020,7,25,07:10,UTC,8,1003.6,97,0,-1,13.4,12.9,41975,329,4.7,2.7
2020,7,25,07:20,UTC,8,1003.7,97,0,-1,13.6,13.1,45686,323,4.8,2.3
2020,7,25,07:30,UTC,7,1003.7,96,0,-1,13.7,13.1,47630,313,4.7,2.6
2020,7,25,07:40,UTC,7,1003.9,95,0,-1,14.1,13.3,50000,320,5.9,3.2
2020,7,25,07:50,UTC,7,1004,95,0,-1,14.4,13.5,47347,321,5.5,2.6
2020,7,25,08:00,UTC,7,1004.1,92,0,-1,14.2,12.8,46638,311,5.9,3.2
2020,7,25,08:10,UTC,7,1004.2,92,0,-1,14.5,13.3,44836,305,5.1,3.2
2020,7,25,08:20,UTC,7,1004.4,87,0,-1,14.4,12.2,50000,317,5,2.8
2020,7,25,08:30,UTC,7,1004.4,84,0,-1,14.9,12.2,49951,319,4.9,2.8
2020,7,25,08:40,UTC,7,1004.5,85,0,-1,15.3,12.7,47053,324,4.2,2.4
2020,7,25,08:50,UTC,7,1004.5,87,0,-1,16.1,14,35862,305,3.5,1.6
2020,7,25,09:00,UTC,5,1004.6,77,0,-1,16.7,12.6,38346,301,5.1,2.6
2020,7,25,09:10,UTC,3,1004.7,74,0,-1,16.8,12.2,37107,314,4.9,2.4
2020,7,25,09:20,UTC,1,1004.9,78,0,-1,16.8,13,44560,292,3.9,2.3
2020,7,25,09:30,UTC,1,1004.9,72,0,-1,17,12,36822,293,4.8,2.4
2020,7,25,09:40,UTC,2,1004.8,74,0,-1,17.7,13.1,40649,273,3.5,2
2020,7,25,09:50,UTC,2,1004.9,72,0,-1,17.8,12.6,38979,275,4.2,1.8
2020,7,25,10:00,UTC,2,1004.9,71,0,-1,17.9,12.6,39473,215,3.2,1.4
2020,7,25,10:10,UTC,4,1005.1,71,0,-1,17.6,12.3,50000,216,3.5,1.6
2020,7,25,10:20,UTC,6,1005.3,73,0,-1,17,12.3,48216,227,4.5,2.1
2020,7,25,10:30,UTC,7,1005.5,77,0,-1,16.9,12.8,50000,237,5.7,3.2
2020,7,25,10:40,UTC,8,1005.8,79,0,-1,15.9,12.2,47066,269,6.8,3.4
2020,7,25,10:50,UTC,7,1005.9,83,0,-1,15.6,12.8,48300,266,4.9,2
2020,7,25,11:00,UTC,7,1005.9,81,0,-1,16,12.8,41927,259,4,2
2020,7,25,11:10,UTC,7,1006,77,0,-1,16.4,12.5,50000,247,4.3,2.4
2020,7,25,11:20,UTC,7,1006.1,71,0,-1,16.4,11.2,47543,219,4.5,2.5
2020,7,25,11:30,UTC,7,1006.1,69,0,-1,16.5,10.9,41232,199,3.8,1.8
2020,7,25,11:40,UTC,7,1006.2,70,0,-1,17.1,11.6,44739,198,5.4,2.5
2020,7,25,11:50,UTC,6,1006.2,66,0,-1,18.2,11.8,39070,194,6.1,3.1
2020,7,25,12:00,UTC,5,1006.2,66,0,-1,18.8,12.4,37182,187,5.4,3
2020,7,25,12:10,UTC,3,1006.4,64,0,-1,17.7,10.7,44994,212,5.7,3.4
2020,7,25,12:20,UTC,5,1006.5,70,0,-1,17.8,12.3,43636,210,5.5,2.7
2020,7,25,12:30,UTC,6,1006.6,71,0,-1,17.3,12,45411,198,5.7,3.1
2020,7,25,12:40,UTC,7,1006.6,66,0,-1,19.3,12.8,42734,204,4.9,2.4
2020,7,25,12:50,UTC,7,1006.7,69,0,-1,18.2,12.5,50000,183,6.1,2.6
2020,7,25,13:00,UTC,7,1006.9,75,0,-1,17,12.6,42585,174,6.2,3.9
2020,7,25,13:10,UTC,7,1007,77,0,-1,16.8,12.7,40076,193,6.6,3.3
2020,7,25,13:20,UTC,7,1007.1,74,0,-1,17.1,12.5,44972,187,5.8,3
2020,7,25,13:30,UTC,8,1007,72,0,-1,17.1,12,48596,176,5.3,2.7
2020,7,25,13:40,UTC,8,1007,71,0,-1,17.5,12.2,50000,194,5,2.1
2020,7,25,13:50,UTC,7,1007,68,0,-1,18.1,12.1,45399,186,4.3,2.1
2020,7,25,14:00,UTC,4,1007.1,69,0,-1,18.1,12.2,42288,201,7.3,2.8
2020,7,25,14:10,UTC,3,1007.2,70,0,-1,17.6,12.2,50000,219,7.5,3.4
2020,7,25,14:20,UTC,2,1007.3,74,0,-1,17.7,12.9,50000,224,5.7,2.6
2020,7,25,14:30,UTC,1,1007.4,70,0,-1,17.6,12,49939,216,5.1,2.5
2020,7,25,14:40,UTC,1,1007.5,70,0,-1,17.3,11.8,50000,194,5,1.9
2020,7,25,14:50,UTC,4,1007.6,73,0,-1,17.2,12.2,50000,193,3.7,1.7
2020,7,25,15:00,UTC,5,1007.8,70,0,-1,17.4,11.8,50000,224,5.5,2.4
2020,7,25,15:10,UTC,7,1007.9,71,0,-1,16.9,11.7,50000,231,4.7,2.2
2020,7,25,15:20,UTC,6,1007.9,77,0,-1,16.7,12.6,46506,218,4.9,2
2020,7,25,15:30,UTC,7,1008.1,73,0,-1,16.7,11.9,50000,218,4.8,2.3
2020,7,25,15:40,UTC,7,1008.1,78,0,-1,16.9,13.1,50000,227,4.5,1.8
2020,7,25,15:50,UTC,8,1008.1,78,0,-1,16.9,12.9,49437,235,4.7,2
2020,7,25,16:00,UTC,8,1008.1,76,0,-1,17,12.6,50000,222,3.2,1.5
2020,7,25,16:10,UTC,5,1008.2,76,0,-1,16.9,12.6,50000,228,4.4,2
2020,7,25,16:20,UTC,3,1008.3,76,0,-1,16.7,12.4,50000,250,6,2.7
2020,7,25,16:30,UTC,5,1008.5,75,0,-1,16.5,12,50000,241,5.8,2.9
2020,7,25,16:40,UTC,5,1008.5,76,0,-1,16.3,12,50000,234,3.6,1.9
2020,7,25,16:50,UTC,4,1008.7,77,0,-1,16,11.9,50000,235,3.5,1.9
2020,7,25,17:00,UTC,5,1008.8,80,0,-1,15.8,12.4,50000,220,3.8,2
2020,7,25,17:10,UTC,5,1008.9,82,0,-1,15.9,12.9,50000,226,5.4,2.7
2020,7,25,17:20,UTC,7,1009.1,73,0,-1,15.9,11.1,50000,234,7.3,3.3
2020,7,25,17:30,UTC,7,1009.3,77,0,-1,15.7,11.8,49626,246,7.8,3.7
2020,7,25,17:40,UTC,8,1009.4,80,0,-1,15.4,11.9,50000,247,6.7,3.5
2020,7,25,17:50,UTC,8,1009.6,80,0,-1,15.2,11.8,50000,273,6.9,3.4
2020,7,25,18:00,UTC,8,1009.8,80,0,-1,15.1,11.7,50000,286,6.1,3.3
2020,7,25,18:10,UTC,8,1009.8,81,0,-1,15,11.8,50000,289,4.4,1.9
2020,7,25,18:20,UTC,8,1010,84,0,-1,14.9,12.3,50000,278,4.6,1.9
2020,7,25,18:30,UTC,7,1010.1,83,0,-1,14.7,11.8,50000,276,3.5,1.3
2020,7,25,18:40,UTC,7,1010.3,85,0,-1,14.4,12,50000,263,3.4,1.4
2020,7,25,18:50,UTC,3,1010.4,87,0,-1,13.8,11.7,50000,257,2.3,1.3
2020,7,25,19:00,UTC,3,1010.5,89,0,-1,13.3,11.4,50000,239,2.1,1.2
2020,7,25,19:10,UTC,1,1010.5,90,0,-1,12.9,11.3,48156,241,1.8,1
2020,7,25,19:20,UTC,1,1010.7,91,0,-1,12.5,11.2,50000,243,2.3,1.3
2020,7,25,19:30,UTC,0,1010.8,93,0,-1,12.1,10.9,50000,246,2.4,1.1
2020,7,25,19:40,UTC,0,1010.8,94,0,-1,11.8,10.9,50000,253,2.1,1.4
2020,7,25,19:50,UTC,0,1011,95,0,-1,11.6,10.9,49935,244,2.3,1.3
2020,7,25,20:00,UTC,0,1011.1,96,0,-1,11.5,10.9,42002,242,2.4,1.5
2020,7,25,20:10,UTC,0,1011.2,96,0,-1,11.2,10.6,48477,242,2.2,1.3
2020,7,25,20:20,UTC,0,1011.3,97,0,-1,11,10.5,49988,235,2.6,1.5
2020,7,25,20:30,UTC,0,1011.5,97,0,-1,10.8,10.3,50000,235,2.6,1.3
2020,7,25,20:40,UTC,0,1011.6,97,0,-1,10.7,10.3,35398,241,3,1.5
2020,7,25,20:50,UTC,0,1011.7,98,0,-1,10.6,10.3,39343,241,2.4,1.2
2020,7,25,21:00,UTC,0,1011.9,98,0,-1,10.5,10.2,36568,230,2.6,1.6
2020,7,25,21:10,UTC,0,1012.1,98,0,-1,10.3,10,36135,237,2.7,1.5
2020,7,25,21:20,UTC,0,1012.2,98,0,-1,10.2,9.9,33030,239,3.2,1.6
2020,7,25,21:30,UTC,0,1012.3,98,0,-1,10.2,9.9,36553,245,2.7,1.4
2020,7,25,21:40,UTC,0,1012.4,98,0,-1,10.1,9.8,24626,233,2.4,1.1
2020,7,25,21:50,UTC,0,1012.6,98,0,-1,10.1,9.9,28885,228,2.3,1.2
